TICID,Tmag,RA,Dec,Nsector
33839693,10.32,65.05,-72.451,13
33839723,10.61,64.8101,-72.505,24
33840009,15.75,64.9079,-73.0623,34
33840951,11.38,64.8558,-75.2497,13
33840973,10.51,65.001,-75.2953,13
33861444,7.64,64.7529,-75.718,34
33861618,10.51,65.0201,-76.2163,21
33863453,12.0,65.2707,-74.5508,22
33864178,9.62,65.4127,-72.9757,22
33864198,10.58,65.2137,-72.9483,13
33864387,11.4,65.4141,-72.5653,33
33864821,12.8,65.6494,-72.1094,27
33865093,13.45,65.7606,-72.6058,23
33866070,11.56,65.7368,-74.7629,24
33866201,13.75,65.6934,-75.128,26
33866571,8.39,65.7921,-76.1855,21
33876746,10.06,65.5354,-76.9512,14
33877176,11.07,66.1714,-77.4101,16
33877338,11.07,65.9248,-76.9309,15
33877401,10.65,65.8973,-76.7206,17
33877402,10.75,65.9519,-76.7196,26
33877534,9.74,66.0395,-76.2803,22
33877753,11.94,65.9532,-75.5728,13
33877907,10.53,65.9915,-75.131,26
33878145,8.88,66.1608,-74.5092,26
33878459,12.71,66.0909,-73.8152,17
33878688,11.11,66.2219,-73.3335,25
33878971,12.93,66.1448,-72.7157,25
33879052,12.85,66.2195,-72.5839,22
33879314,9.73,66.1661,-72.0884,24
33879593,11.13,66.4393,-72.3238,24
33879968,9.76,66.2987,-73.1186,14
33880418,13.51,66.4664,-74.1208,33
33880674,8.88,66.5163,-74.7033,20
33880746,8.94,66.3976,-74.8703,26
33880864,10.15,66.5556,-75.2479,13
33881153,9.74,66.2971,-76.1934,24
33881250,12.88,66.344,-76.5017,30
33910266,7.72,66.2304,-77.684,22
33910267,7.54,66.2179,-77.6851,22
33910322,9.43,66.266,-77.8859,19
33910327,10.89,66.3944,-77.9193,15
38396389,8.18,60.1242,-60.3547,13
38396606,3.73,60.3265,-61.0782,18
38396965,2.26,60.2242,-62.159,21
38422961,11.04,60.2536,-65.2118,24
38423413,15.56,60.4848,-65.1243,29
38423929,12.94,60.5405,-63.5246,19
38424405,8.26,60.4108,-61.9584,18
38425450,6.12,60.6171,-61.3563,17
38425946,9.66,60.7812,-63.1047,18
38458938,13.31,60.8513,-63.7223,19
38459063,12.53,60.8875,-63.2749,18
38459103,8.92,61.0184,-63.1123,18
38460465,8.4,61.2662,-61.4824,16
38460940,13.1,61.1372,-62.9901,26
38461205,11.74,61.2414,-63.9086,22
38461375,11.85,61.3138,-64.5022,26
38461400,10.37,61.1376,-64.5768,26
